nombre;categoria;direccion;ciudad;cp;telefono;web;rating;reviews;lat;lng
Senator Parque Central Hotel;Hotel;Pl. Manuel Sanchís Guarner, 1;Valencia;;963 95 80 80;https://www.senatorhr.com/senator-parque-central-hotel/;4.1;0;;
Playa de Encinas de Esgueva;Atracción turística;47186 Encinas de Esgueva;Valladolid;;;;4.1;0;;
Hotel Ciudad de Valladolid;Hotel;Av. Ramón Pradera, 10-12;47009 Valladolid;;983 35 11 11;https://www.hotelciudaddevalladolid.com/;4.1;0;;
Centre Verd;Centro de jardinería;El Sitjar, 1A;Girona;;972 22 22 41;http://www.centreverd.cat/;4.1;0;;
Hostal Cumbre;Hotel;Av. de Cataluña, 24;50014 Zaragoza;;976 29 11 48;http://www.hostalcumbre.com/;4.1;0;;
Parc de Convivència La Ribera;Parque;Carrer del Flamenc;Illes Balears;;;;4.1;0;;
ISED Bilbao;Centro de formación;Adiskidetasun Kalea, 7;Bizkaia;;944 35 41 33;https://www.ised.es/centros/ised-bilbao/;4.1;0;;
OXXO (Bella vista);Tienda de productos para mascotas;Puerto Veracruz Y Puerto Guaymas S/N, Av. Puerto San Jorge;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;4.1;0;;
Guardería - Residencia Canina Madrid RASTAdog Barajas de Bienestar Animal - Hotel Boutique Canino;Guardería canina;C. Trespaderne, 7;28042 Madrid;;687 01 29 49;https://www.caninaresidenciamadrid.es/;4;0;;
Parque canino;Parque para perros;46920 Mislata;Valencia;;;;4;0;;
Parque Canino "Las Moreras";Parque para perros;28903 Getafe;Madrid;;;;4;0;;
Asociacion Andaluza para la Defensa de los Animales;Organización no gubernamental;C. Gracia Fernández Palacios, 4;41001 Sevilla;;954 56 10 58;http://www.asanda.org/;4;0;;
Oscar Polo - Adiestramiento de Perros de Caza;Adiestrador canino;C. los Bohemios, 1;28041 Madrid;;609 18 50 94;http://www.adiestramientodeperrosdecaza.com/;4;0;;
Sweet San Francisco;Hotel;C. San Francisco, 42;Alicante;;680 55 19 14;https://sweetsanfrancisco.top/;4;0;;
MAISON CONDE DE LA CEBADA;Hotel;Plaza Don Francisco Martin Gromaz, 12;Palencia;;682 53 97 46;;4;0;;
Konpa Mascotas (By Euskalmushing) Tienda Rekalde.;Tienda de productos para mascotas;Biarritz Kalea, 1A;Bizkaia;;946 08 92 48;https://www.konpamascotas.com/;4;0;;
Associació Protectora D'Animals Deixant Petjada;Protectora de animales;;;;605 36 24 73;https://sites.google.com/view/protectoradeixantpetjada/;4;0;;
Parque canino;Parque local;C/ Ernesto Che Guevara, 22;Valencia;;;;4;0;;
Parque Canino Soliva;Parque para perros;C. Catedrático Cristóbal Cuevas, 4;29010 Málaga;;951 92 60 28;http://parquesyjardines.malaga.eu/;4;0;;
Carrefour;Hipermercado;Av. del Real Valladolid, 5, C.C;47014 Valladolid;;983 42 81 21;https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/valladolid_-_parquesol.aspx;4;0;;
Hospital Veterinario Archiduque Carlos;Hospital veterinario;C/ de l'Arxiduc Carles, 48, Bajo;Valencia;;963 78 44 40;https://www.hospitalveterinarioarchiduque.com/;4;0;;
Meijer;Tienda de productos para mascotas;800 Brown Rd;Estados Unidos;;+1 248-393-5100;https://www.meijer.com/shopping/store-locator/185.html?cmpid=LM:Web::::05112021::GoogleGrocery;4;0;;
Hotel Casa Emilio;Hotel;Alameda de Colón, 9;30002 Murcia;;968 22 06 31;http://www.hotelcasaemilio.com/;4;0;;
Kiwoko. Mundo Animal;Tienda de productos para mascotas;P.C. Megapark Barakaldo Ribera Etorbidea S/N parcela 4 A;Biscay;;944 38 70 55;https://tiendas.kiwoko.com/euskadi/bizkaia/baracaldo/kiwoko-bilbao-megapark-40?utm_medium=maps&utm_source=google;4;0;;
Hotel Catalonia Sagrada Familia;Hotel;Carrer d'Aragó, 577, 579;08026 Barcelona;;932 45 89 05;https://www.cataloniahotels.com/es/hotel/catalonia-sagrada-familia?mb=1&utm_source=googlemaps&utm_medium=organic&utm_campaign=ARA;4;0;;
ibis Styles Barcelona Sant Joan Despi;Hotel;Carrer de la TV3, 2;Barcelona;;934 75 58 00;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3289&merchantid=seo-maps-ES-3289&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;4;0;;
Primark;Tienda de ropa;Diego Lopez Haroko Kale Nagusia, 1;Bizkaia;;945 48 00 00;https://www.primark.com/es-es/stores/bilbao/gran-via-de-don-diego-lopez-de-haro-1?y_source=1_MjM3Nzc5NDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D;4;0;;
Hostal Vidamia;Hotel;C. Cisneros, 7;29005 Málaga;;951 25 48 70;http://www.hostalvidamia.es/;4;0;;
iStay by NH Zaragoza Sport Hotel;Hotel;C. del Moncayo, 5;50010 Zaragoza;;976 31 11 14;https://www.nh-hotels.com/en/hotel/istay-by-nh-zaragoza-sport?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb;4;0;;
Hotel Santa Clara;Hotel;C. Sta. Clara, 1;Asturias;;985 08 70 70;http://www.hotel-santaclara.es/;4;0;;
Playa de mascotas.;Playa pública;08872 Sitges;Barcelona;;;;4;0;;
Hotel Hesperia Zaragoza Centro;Hotel;C. del Conde de Aranda, 48;50003 Zaragoza;;876 66 45 23;https://www.hesperia.com/es/hoteles/espana/zaragoza/hotel-hesperia-zaragoza-centro?utm_source=GMBzaragoza&utm_medium=organic;4;0;;
Balmes Hospital Veterinari;Veterinario;Carrer de Jaume Balmes, 55;Illes Balears;;971 29 52 45;https://evidensia.es/clinicas/balmes-hospital-veterinari/;4;0;;
Parque para perros Diagonal Mar;Parque para perros;Sant Martí;08019 Barcelona;;;https://guia.barcelona.cat/es/detall/area-d-esbarjo-per-a-gossos_99400344570.html;4;0;;
Centro de Protección y Adopción de Animales. Perrera Municipal.;Servicio de control de animales;C. de Chile, 1;Madrid;;912 48 94 19;https://www.instagram.com/cpaleganes?igsh=MTlldmpkMmN4eDV5NA==;4;0;;
Apartamentos La Castilleja ® · Web Oficial;Hotel;C. Huerta de Hierro, 22;14012 Córdoba;;637 28 80 20;http://www.apartamentoslacastilleja.com/;4;0;;
Veterinaria Sandoval;Veterinario;Ejido Dr Alberto Oviedo Mota;México;;+52 686 138 8216;;4;0;;
El Corte Inglés Gran Vía de Bilbao;Centro comercial;Diego Lopez Haroko Kale Nagusia, 7-9;Bizkaia;;944 25 35 00;https://www.elcorteingles.es/centroscomerciales/es/eci/centros/centro-comercial-gran-via;4;0;;
Areeta Hondartza;playa;Areeta / Las Arenas;Vizcaya;;;;4;0;;
Modular Rooms Hotels;Albergue;Calle de la Espada, 4;28012 Madrid;;919 36 07 70;https://www.modularroomshotels.com/;4;0;;
Travelodge Madrid Metropolitano;Hotel;C. de Santa Leonor, 34;28037 Madrid;;912 60 84 40;https://www.travelodge.es/hoteles-madrid/metropolitano?utm_source=google&utm_medium=organic&utm_campaign=google-my-business&utm_content=google-my-business;4;0;;
playa para perros;playa;Altea;Alicante;;965 84 13 00;http://www.altea.es/;4;0;;
Pipican;Parque para perros;Ctra. de Sarrià de Dalt;Girona;;;;4;0;;
Parque Canino;Parque;Son Martorell;Balearic Islands;;;;4;0;;
Hospital Veterinaria del Mar;Hospital veterinario;Carrer de la Marina, 69;08005 Barcelona;;930 21 78 12;https://veterinariadelmar.com/?utm_source=gbp&utm_medium=organic&utm_campaign=bcn-hv-del-mar&utm_content=generico;4;0;;
Clínica veterinaria El Sabueso;Veterinario;Bustamante 312;México;;+52 826 110 0292;https://infoveterinarias.com.mx/nuevo-leon/;4;0;;
Centro Municipal de Protección Animal - Ayuntamiento de Zaragoza;Protectora de animales;Polígono Empresarium;Zaragoza;;976 72 62 72;https://www.zaragoza.es/ciudad/proteccionanimal/detalle_Centro?id=537;4;0;;
Peluqueria canina a domicilio;Cuidador de mascotas;;;;;;4;0;;
Centro Canino Ribamontes;Refugio para animales;CV 383, KM 4, Polígono 19, parcelas 15 y 17, 46380;Valencia;;625 05 74 25;http://www.ribamontes.com/;4;0;;
Fundación Intered;Organización de voluntariado;Pl. de la Concha, 1;14003 Córdoba;;957 48 43 28;;4;0;;
Smartr Las Palmas;Hotel;C. León y Castillo, 140;Las Palmas;;828 74 00 28;https://www.smartrental.com/es/smartr-stays/gran-canaria/smartr-las-palmas/?utm_source=google&utm_medium=Organic_Search&utm_campaign=gmb_web_ficha_hotel&utm_term=smartr_laspalmas;4;0;;
Jardín Centrofama;Parque local;30008 Murcia;30008 Murcia;;;http://murcia.es/;4;0;;
Centro de Protección Animal 2;Refugio para animales;HVMH+X5;Murcia;;;;4;0;;
ZECA - Jardín Academía de Infantería (Zona Canina);Parque para perros;Av. Academia de Infantería;Murcia;;;http://www.murcia.es/;4;0;;
Parque canino - Avenida Jacinto Benavente;;Jacinto Benavente;46005 València;;;;4;0;;
Soriana Híper Triana;Supermercado;Blvd. Gral. Pedro Verona Rodríguez Triana S/n;México;;+52 81 2629 6058;https://www.soriana.com/;4;0;;
Canine Country Dog Park;Parque para perros;Santa Clarita, CA 91351;Estados Unidos;;;;4;0;;
Parque del Agumore;Parque;C/ San Juan Bosco, 61;41008 Sevilla;;954 78 75 78;http://visitasevilla.es/;4;0;;
Veterinaria Pet Clinic de Playas;Veterinario;Parque Azteca Sur 409;México;;+52 664 631 1660;http://www.petclinicplayas.com/;4;0;;
Elaleph Coffee Haus;Cafetería;327 Pierce St;Estados Unidos;;+1 786-856-0462;https://www.elalephcoffeehaus.com/;4;0;;
parque de perros;Parque para perros;Nou Barris;08031 Barcelona;;;;4;0;;
Motel La Siesta;Hotel;VA-VP-5804 A-62 Burgos-PORTUGAL KM142 Velliza-Villamarciel;Valladolid;;983 77 08 61;;4;0;;
ibis Styles Zaragoza Centro;Hotel;C. del Coso, 123;50001 Zaragoza;;976 29 82 00;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=8521&merchantid=seo-maps-ES-8521&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;4;0;;
Clínica veterinaria Málaga;Veterinario;C. Teresa Azpiazu y Paul, 3;29004 Málaga;;687 48 45 86;http://www.clinicaveterinariamalaga.net/contacto.html;4;0;;
Parque para perros Plaza Sóller;Parque para perros;Carrer de l'Escultor Ordóñez, 58;08016 Barcelona;;;;4;0;;
Parque canino;Parque;17220 Sant Feliu de Guíxols;Girona;;;;4;0;;
Parque Canino Parque Andrés Jiménez Díaz;Parque;Puerto de la Torre;29190 Málaga;;;http://www.parquesyjardines.malaga.eu/;4;0;;
B&B HOTEL Valencia Arena;Hotel;Av. d'Ausiàs March, 99;Valencia;;963 06 30 00;https://www.hotel-bb.com/es/hotel/valencia-arena?utm_source=googlemaps&utm_medium=fichehotel&utm_campaign=valencia_ciencias;4;0;;
Happy Apartments Valencia;Hotel;C/ del Pintor Domingo, 8;Valencia;;635 62 99 27;http://www.happyapartmentsvalencia.com/;4;0;;
Hotel ibis Budget;Hotel;Star Hotel H Ma 01905;29004 Málaga;;952 10 51 55;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3674&merchantid=seo-maps-ES-3674&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;4;0;;
Parque canino;Parque para perros;C. Valle de Arán, 11;47010 Valladolid;;;;4;0;;
Edu Kan Estética Canina;Peluquero de mascotas;C. José Martí 6113;México;;+52 614 419 7679;;4;0;;
Hospital Veterinari Canis;Veterinario;Carrer Can Pau Birol, 38;17006 Girona;;972 21 86 68;https://www.canisgirona.com/;4;0;;
Aveda Institute - Orlando;Centro de estética;495 N Semoran Blvd Ste 6;Estados Unidos;;+1 407-657-0348;https://www.beaveda.com/locations/orlando/;4;0;;
B&B HOTEL Girona 2;Hotel;Carrer de Miquel Martí i Pol, 11;Girona;;972 43 94 87;https://www.hotel-bb.com/es/hotel/girona?utm_source=googlemaps&utm_medium=fichehotel&utm_campaign=girona2;4;0;;
Hotel Solpor;Hotel;Rúa Vía Nte., 9, 1º;Pontevedra;;986 13 44 41;https://solpor.hotel07.com/;4;0;;
Parc per a gossos (Pipican);Parque para perros;Edifici Teulera, 162;Girona;;;;4;0;;
GRECOACOM;Tienda de alimentación;C. de Navellos, 14;Valencia;;722 41 19 23;http://www.grecoacom.com/;4;0;;
Hospital veterinario Elkano "Grupo Abereen Klinikak";Hospital veterinario;Elcano K., 33;Bizkaia;;944 21 22 12;http://www.clinicaveterinariaabereen.es/;4;0;;
Àrea per a gossos Parc Font Florida;Parque para perros;Parc de la Font Florida;08004 Barcelona;;;;4;0;;
Hotel Soho Boutique Los Naranjos;Hotel;P.º de Sancha, 35;29016 Málaga;;952 22 43 16;https://www.sohohoteles.com/destinos/hotel-soho-boutique-los-naranjos-3/;4;0;;
Academía de peluquería canina SOS Animal;Peluquero de mascotas;C. Antonio Chacón, 1;29003 Málaga;;952 35 87 01;https://galachoveterinarios.com/encuentranos/academia-de-peluqueria-canina-sos-animal/;4;0;;
Residencia para animales exóticos Sevilla;Cuidador de mascotas;Av. del Aljarafe, 68, Loc 2;Sevilla;;629 57 48 63;http://www.residenciaanimalesexoticossevilla.com/;4;0;;
Hotel ILUNION Aqua 3;Hotel;Carrer de Luis García-Berlanga Martí, 19, 21;Valencia;;963 18 71 01;https://www.ilunionhotels.com/hoteles/ilunion-aqua-3?partner=5989&sel=sel:nf-gmb:nm-organic:kwp-:nc-:fe-:fm-:mp-:id-5989;4;0;;
Zona ZECA - Parque Canino;Parque para perros;Diseminado Carril Callejas, 4;30161 Murcia;;;;4;0;;
Playa del Alberche;Atracción turística;M-510;Madrid;;;https://playadelalberche.es/;4;0;;
Arizona Mascotas;Peluquero de mascotas;C. Músico Torres Climent, local 1;Alicante;;633 14 66 65;;4;0;;
Medivet Hospital Veterinario 24 horas El Cabo;Veterinario;C. del Curricán, 44;03540 Alicante;;965 15 06 06;https://www.medivetgroup.com/es-es/veterinario-urgencia-24-horas/24-horas-el-cabo/?utm_source=google&utm_medium=organic&utm_campaign=google_lpm_el_cabo;4;0;;
Hotel Villa San Juan;Hotel;Plaça de la Constitución, 6;Alicante;;965 65 39 54;http://www.hotelvillasanjuan.com/;4;0;;
Málaga Nostrum;Hotel;C. Herman Hesse, 17;29004 Málaga;;952 24 42 88;https://www.hotelmalaganostrum.com/?utm_medium=organic&utm_source=google&utm_campaign=google-my-business&utm_term=google-local;4;0;;
Clínica Veterinaria Armadans;Veterinario;Avinguda de Joan Miró, 3;Illes Balears;;677 79 57 00;http://armadansvet.es/;4;0;;
Parque canino;Parque para perros;17185 Vilobí d'Onyar;Girona;;;;4;0;;
Puppy Store;Tienda de regalos;C. Bidebarrieta Kalea, 14;Biscay;;;;4;0;;
Jardines del Valle;Jardín;C. María Auxiliadora;41003 Sevilla;;;http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-habitat-urbano-cultura-y-turismo/a-servicio-de-parques-y-jardines/parques/jardines-de-distrito/jardines-del-valle/jardines-del-valle;4;0;;
ibis Budget Madrid Calle Alcalá;Hotel;Metro Suanzes;28037 Madrid;;913 04 04 41;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=5100&merchantid=seo-maps-ES-5100&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;4;0;;
Refugio de Animales de Paterna;Refugio para animales;Carrer Ciutat de Barcelona, 2;Valencia;;634 20 12 13;https://refugio.serviciosdepaterna.es/;4;0;;
Amics dels Animals d'Esporles - Amigos de los animales de Esporles;Asociación de ecologistas;Son Quint;Balearic Islands;;629 23 26 32;https://www.facebook.com/pg/amicsanimalsesporles;4;0;;
Huellas de viaje;Guardería canina;con;Valladolid;;691 80 10 48;https://huellas-de-viaje.webnode.es/;4;0;;
Clínica Veterinaria Aluche;Veterinario;C. de Illescas, 215;28047 Madrid;;686 64 53 85;https://www.clinicaveterinariamadrid.com/;4;0;;
Área canina;Parque para perros;Av. de Palomeras, 2;28018 Madrid;;;;4;0;;
Oxxo Yunkee;Tienda de productos para mascotas;Lopez Del Castillo Y Olivares 3, Blvr. Luz Valencia;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;4;0;;
Hotel San Pablo Sevilla;Hotel;Av. de la Innovación, 10, 11;41020 Sevilla;;954 25 23 25;https://www.hotelsanpablosevilla.es/;4;0;;
Playa para perros Alicante;Parque para perros;Agua Amarga Playa;03008 Alicante;;;;4;0;;
Jardines de la Industria;Parque;Carrer de la Marina, 358;08025 Barcelona;;931 53 70 10;http://guia.barcelona.cat/detall/jardins-interior-d-illa-de-la-industria_92086032290.html;4;0;;
Hostal Universal;Hotel;Cra de S. Jerónimo, 32;28014 Madrid;;;https://hostaluniversal.top/;4;0;;
Novecan - ORTOPEDIA CANINA;Tienda de productos para mascotas;C. Mayor, 31, bajo;30006 Murcia;;605 12 34 87;https://www.novecan.com/;4;0;;
Hotel Soho Boutique Málaga;Hotel;C. Córdoba, 5;29001 Málaga;;952 22 40 79;https://www.sohohoteles.com/destinos/hotel-soho-boutique-malaga-3/;4;0;;
Centro de Esparcimiento Canino;Paseador de perros;Baver dog park;Alicante;;;;4;0;;
GAREM Veterinarios 24 horas;Hospital veterinario;Rambla Catalana, 9;Barcelona;;930 16 52 13;http://www.garemveterinarios.com/;4;0;;
ZECA - Jardín Viudes (Zona Canina);Parque para perros;Av. Juan Antonio Perea, 3;30002 Murcia;;;http://www.murcia.es/;4;0;;
Inhala Hotel Garden;Hotel;C. de San Bernardo, 1;28013 Madrid;;915 47 98 00;https://inhalahotel.com/;4;0;;
HAPPY DOGS 2000;Tienda de animales;C/ Navas, 13;Alicante;;603 18 37 01;https://happydogs2000.com/;4;0;;
Centro Veterinario;Hospital veterinario;Carrer de Còrsega, 537;08025 Barcelona;;611 82 69 54;;4;0;;
AniCura Aragó Hospital Veterinari | Urgències 24h;Veterinario;Carrer Son Morro, 4;Illes Balears;;971 47 93 54;https://www.anicura.es/clinicas/arago-hospital-veterinari/;4;0;;
Parque para perros;Parque para perros;Hortaleza;28055 Madrid;;;http://madrid.es/;4;0;;
Clinica Veterinaria Santa Elvira;Hospital veterinario;Ignacio M. Altamirano 111;México;;+52 861 612 2516;;4;0;;
AniCura San Vicente Hospital Veterinario;Hospital veterinario;C. del Veterinario Manuel Isidro Rodríguez García, 17;Alicante;;965 66 85 82;https://www.anicura.es/clinicas/san-vicente-hospital-veterinario/;4;0;;
Hotel Río Arga;Hotel;C. de Contamina, 20;50003 Zaragoza;;976 39 90 65;http://www.hotelrioarga.es/;4;0;;
Mascotajardín;Guardería canina;Av. Conchita la Comadrona, 100;Murcia;;968 64 26 24;http://www.mascotajardin.com/;4;0;;
Zona ZECA - Parque Canino;Parque para perros;30120 Murcia;30120 Murcia;;;;4;0;;
Playa de Bellamar;Playa pública;-99;Barcelona;;;;4;0;;
Hotel Bahía de Vigo;Hotel;Rúa Cánovas del Castillo, 24;Pontevedra;;986 22 67 00;https://www.hotelbahiadevigo.com/?utm_source=google&utm_medium=business&utm_campaign=maps;4;0;;
Parque Municipal;Parque;Blvrd Antonio Ortiz Mena 1804;México;;;;4;0;;
Estudiotel Alicante;Hotel;Calle Poeta Vila y Blanco, 2-4;03003 Alicante;;965 06 34 74;http://www.estudiotelalicante.es/;4;0;;
auxiliar de veterinaria en bilbao;Veterinario;Adiskidetasun Kalea, 7;Bizkaia;;900 100 373;;4;0;;
Hotel Catalonia Park Güell;Hotel;Passeig de la Mare de Déu del Coll, 10;08023 Barcelona;;932 19 12 04;https://www.cataloniahotels.com/es/hotel/catalonia-park-guell?mb=1&utm_source=googlemaps&utm_medium=organic&utm_campaign=RUB;4;0;;
Sholeo Lodges Las Palmas Flats;Hotel;C. Juan Rejón, 20;Las Palmas;;928 33 59 60;https://sholeolodges.com/flats/las-palmas/?partner=7600&utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness;4;0;;
Hospital Veterinario Cruz Cubierta;Hospital veterinario;Av. del Doctor Tomàs Sala, 19;Valencia;;963 78 68 30;http://www.hvcruzcubierta.com/;4;0;;
GAMBAMANIA JRZ;Pescadería;CALLE F. CHOPIN 845 FRACC. LOS NOGALES LAS PALMAS ESQUINA CON;México;;+52 656 174 9676;https://www.facebook.com/gambamaniaciudadjuarez/;4;0;;
Evidensia Valladolid Hospital Veterinario;Hospital veterinario;C. Sta. Fe, 7;47013 Valladolid;;983 27 42 20;https://www.veterinariovalladolid.com/;4;0;;
Parque canino Podenco Andaluz;Parque para perros;C. Arzobispo Carlos Amigo Vallejo, 15;Sevilla;;;;4;0;;
Parque Canino Parque Lineal;Parque para perros;Campanillas;29590 Málaga;;951 92 60 28;http://parquesyjardines.malaga.eu/;4;0;;
Parque Canino Huelin;Parque para perros;Carretera de Cádiz;29002 Málaga;;951 92 60 28;http://parquesyjardines.malaga.eu/;4;0;;
Dogstar Educador Canino | Problemas de comportamiento;Adiestrador canino;;;;625 21 51 21;http://dogstar.es/;4;0;;
Canitas Veterinaria Málaga - CC Carrefour Alameda;Veterinario;Av. de Andalucía, s/n;29007 Málaga;;918 31 00 10;https://canitasveterinaria.com/tus-clinicas/veterinario-malaga-alameda/?utm_source=google&utm_medium=organic&utm_campaign=gbp-main;4;0;;
Hotel Port Feria;Hotel;C/ de Cullera, 67;Valencia;;963 64 00 52;https://www.porthotels.es/port-feria.html?utm_medium=organic&utm_source=google&utm_campaign=google-my-business&utm_term=google-local&utm_id=port-feria;4;0;;
B&B HOTEL Zaragoza Plaza Mozart;Hotel;Hostal;50014 Zaragoza;;876 63 67 96;https://www.hotel-bb.com/es/hotel/zaragoza-plaza-mozart?utm_source=googlemaps&utm_medium=fichehotel&utm_campaign=zaragoza_plaza_mozart;4;0;;
Clínica Can;Veterinario;C. Barcelona, 10, BAJO;Las Palmas;;928 24 07 73;http://www.clinicacan.com/;4;0;;
Protectora AUPA;Protectora de animales;46540 El Puig de Santa Maria;Valencia;;638 37 65 86;https://adoptaunperroabandonado.es/;4;0;;
Playa de La Bola;playa;Mlle. de Las Arenas;Vizcaya;;;;4;0;;
Centro de Educación Canina - La Llamada de Buck - Bilbao;Adiestrador canino;Luis de Castresana Kalea, Nº9, 9ºD;Biscay;;616 93 59 23;;4;0;;
IRIM ESTÉTICA ANIMAL;Guardería canina;Carril Mundo Nuevo, nº36;30110 Murcia;;662 49 65 56;https://irim-estetica-animal.reservio.com/;4;0;;
Adopta (Adopción de niños internacional);Organización sin ánimo de lucro;Pg. de la Bonanova, 57, bajos;08017 Barcelona;;932 53 14 12;http://www.adoptabcn.org/;4;0;;
Veterinaria Pets Mas Bet;Veterinario;Gral. Ignacio Zaragoza 424;México;;+52 81 1180 8703;https://petsmasbet.com/;4;0;;
AniCura Benipeixcar Hospital Veterinario| Urgencias 24h;Hospital veterinario;Avinguda de la Constitució, 68, bajo izq;Valencia;;963 48 30 98;https://www.anicura.es/clinicas/benipeixcar-hospital-veterinario/;4;0;;
Titan Dogs Adiestramiento Canino;Adiestrador canino;;;;+54 351 531-8413;;4;0;;
Hospital Veterinario La Salle 24h;Veterinario;Av. San Juan de la Salle, 73;41008 Sevilla;;954 31 13 11;http://www.hospitalveterinariolasalle.es/;4;0;;
Soho Boutique Las Vegas;Hotel;P.º de Sancha, 22;29016 Málaga;;952 21 77 12;https://www.petitpalace.com/en/soho-boutique-las-vegas/?utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&origin_source=google&origin_medium=organic&origin_campaign=MyBusiness;4;0;;
Meijer;Tienda de productos para mascotas;1301 Eight Mile W;Estados Unidos;;+1 313-369-5200;https://www.meijer.com/shopping/store-locator/268.html?cmpid=LM:Web::::05112021::GoogleGrocery;4;0;;
Parque canino - Avenida Tres Cruces;Parque para perros;Carrer de Torrent, 30;Valencia;;;;3.9;0;;
ibis budget Málaga Centro;Hotel;Hostal 1 - H/Ma/02083;29007 Málaga;;951 21 38 54;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6350&merchantid=seo-maps-ES-6350&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;3.9;0;;
Hacienda El Brillante;Hotel;C. Poeta Alonso de Bonilla, s/n;14012 Córdoba;;621 27 18 00;http://www.haciendasdecordoba.com/;3.9;0;;
Incineradora Ruta de la Plata;Servicio de cremación;Autovía Ruta de la Plata, Sal. 798;Sevilla;;954 04 34 38;http://incineradoradeanimales.com/;3.9;0;;
Tu Veterinario en Casa;Veterinario;C. Duque de Rivas, 29;29013 Málaga;;681 34 63 89;http://www.tuveterinarioencasa.com/;3.9;0;;
ibis Budget Sevilla Aeropuerto;Hotel;Pension Nºrta : H/Se/01250;41007 Sevilla;;954 36 73 96;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=7846&merchantid=seo-maps-ES-7846&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;3.9;0;;
Medivet Hospital Veterinario 24 horas La Vaguada;Hospital veterinario;Calle del Dr. Juan José López Ibor, 30;28035 Madrid;;913 86 41 80;https://www.medivetgroup.com/es-es/veterinario-urgencia-24-horas/24-horas-la-vaguada/?utm_source=google&utm_medium=organic&utm_campaign=google_lpm_la_vaguada;3.9;0;;
OXXO BRACAMONTES;Tienda de productos para mascotas;Blvd Rosas Magallon Y Popocatepet 7405, Av. Iztacihuatl;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;3.9;0;;
Hotel Escuela San Cristóbal Valladolid;Hotel;Av. de Soria, 30;Valladolid;;983 40 10 00;https://hotelescuelasancristobal.com/;3.9;0;;
Sneaky Pete's;Restaurante americano;5036 Ford Pkwy;Estados Unidos;;+1 205-426-6080;http://www.sneakypetes.com/;3.9;0;;
Líbere Valencia Abastos;Hotel;Carrer D'Alberic, 10;Valencia;;965 02 71 40;https://www.staylibere.com/share/LVAB-gmb-asset-page?utm_source=gmb_listing&utm_medium=organic;3.9;0;;
easyHotel Barcelona Fira;Hotel;Avinguda de la Granvia de l’Hospitalet, 22;Barcelona;;931 99 07 11;https://www.easyhotel.com/hotels/spain/barcelona/barcelona-fira?utm_source=google&utm_medium=organic&utm_campaign=GMB-owned-barcelona-fira;3.9;0;;
Hotel Travessera;Hotel;Trav. de Dalt, 121, 123;08024 Barcelona;;932 13 24 54;https://hoteltravessera.com/;3.9;0;;
Kiwoko.Mundo Animal;Tienda de productos para mascotas;Av. de Antonio Ramos Carratalá, 70;03015 Alicante;;965 64 15 50;;3.9;0;;
Centro Municipal de Acogida de Animales;Protectora de animales;Camí Nou de Paterna, 165;Valencia;;661 86 48 08;http://www.protectoramodepran.com/;3.9;0;;
Hostal Restaurante María Victoria;Hotel;Carretera N-601 Km. 216;Valladolid;;983 56 70 40;https://hostalmariavictoria.es/;3.9;0;;
Lavamascotas Vigo;Peluquero de mascotas;Rúa das Teixugueiras, 22, Local 2;Pontevedra;;886 12 60 23;;3.9;0;;
El Florido Abarrotes y Carnes - Suc La Mesa;Supermercado;Plaza Los Olivos, Blvd. Gustavo Díaz Ordaz 15450;México;;+52 664 645 1455;http://www.elflorido.com.mx/;3.9;0;;
Parque canino Enrique Quirós;Parque para perros;Lugar Matalablima;Asturias;;;https://oviedoconperro.es/establecimientos/parque-canino-enrique-quiros-la-monxina/;3.9;0;;
Parque canino;Parque para perros;Av. del Locutor Vicente Hipólito, 1;03540 Alicante;;;;3.9;0;;
